# cc-matcher-routing — normalized fingerprint of CC's hook-matcher routing cluster, per CC build.
# Producer: tests/probes/lib/cc-matcher-routing-fingerprint.py. Checked by
# tests/probes/probe-cc-matcher-routing-fingerprint.sh (live cell) and appended by its --record.
# A row is an ACCEPTANCE: the probe mirrors this routine in BASH_MATCHER_FILTER
# (tests/probes/probe-updatedinput-producer-disjointness.sh), so record a CHANGED sha only after
# re-deriving that mirror against the new cluster. 2.1.273/2.1.276 were measured by the H4 seed
# (reports/2026-09-19-h4-matcher-routing-fingerprint-cc-2.1.278/) and those binaries are gone.
version	sha256	recorded	source
2.1.273	ae702b15b72584cf14a63c7d4120dec11d376f8386aef4539fc32560cc7c460e	2026-09-19	H4 seed norm.py (caller `!s||!n`)
2.1.276	f9cf4b63aa90a0718c4f9ec8894ce0570fa2adf9bc8d3a6e06529b61ed38f41e	2026-09-19	H4 seed norm.py
2.1.278	f9cf4b63aa90a0718c4f9ec8894ce0570fa2adf9bc8d3a6e06529b61ed38f41e	2026-09-23	lib (seed-identical norm)
2.1.280	f9cf4b63aa90a0718c4f9ec8894ce0570fa2adf9bc8d3a6e06529b61ed38f41e	2026-09-23	lib
2.1.281	f9cf4b63aa90a0718c4f9ec8894ce0570fa2adf9bc8d3a6e06529b61ed38f41e	2026-09-23	lib
2.1.282	f9cf4b63aa90a0718c4f9ec8894ce0570fa2adf9bc8d3a6e06529b61ed38f41e	2026-09-24	probe --record
